MR	p_mu	mean_mu	var_mu	max_loglikelihood
0.4	0.00016308795456460444	0.001308636270055349	1.9748166655803002e-07	-8286.862199029352
0.416	0.00015642542422850884	0.001372505947128854	4.038742713762103e-07	-6260.902331550891
0.431	6.425297615548614e-05	0.0014492496816031365	1.5967773117099877e-06	-6798.949631515486
0.446	9.146700154091475e-05	0.001531896948327526	1.3541874154279478e-06	-5747.482398891466
0.462	4.2408460451928814e-05	0.0015917737689785292	1.956349633018878e-06	-5023.218158818185
0.478	8.743564172817894e-05	0.0015099834536926957	1.360692304506218e-06	-6893.451884403242
0.494	0.00010251301477276649	0.0016327770623576856	1.4344771851714942e-06	-4648.483504081711
0.511	8.043799738456121e-05	0.001649170145591006	1.8144471719503515e-06	-3091.7157080370234
0.528	3.511355960575904e-05	0.0018403911123137957	2.4006869233731373e-06	-3437.9790225038814
0.545	8.189511443703561e-05	0.0017219937880617415	2.2414268174460353e-06	-3123.204952885803
0.562	0.00016595124772959802	0.0017807735147577512	4.854992427013357e-07	-2371.768084488072
0.58	0.00011970627694730796	0.0019056419361228763	1.4471280874646541e-06	-2661.9773790902395
0.598	1.4639041169742294e-05	0.002299585407176055	5.694275422617176e-06	-2224.6746420174736
0.616	9.113441123328073e-05	0.0020152775602786483	1.988597208063215e-06	-1877.3665156595505
0.635	1.3056106433440063e-06	0.0022427441109104957	3.565978715672208e-06	-1951.9769804342566
0.654	9.291469158819989e-05	0.002175145729529425	2.1573493527090665e-06	-2099.5709975589266
0.673	5.13661345376228e-07	0.0026824622674983777	5.89679744250395e-06	-1926.0825820733708
0.693	0.0	0.002425496538231141	5.5730558122608364e-06	-1586.7917666978485
0.713	1.3409666138107582e-06	0.00270162643171304	6.883336065333232e-06	-1977.7037893272343
0.734	2.788220304998374e-06	0.002604394739441766	5.768064838964802e-06	-1810.2264484311675
0.755	0.0	0.0028839543352646075	6.7433726832376484e-06	-1772.3273802974968
0.777	6.952273237388982e-06	0.003120835415462288	7.552198393702745e-06	-1935.3229363248863
0.799	7.737409484963594e-05	0.0029202590737870226	7.255106299967576e-06	-1742.3528826369698
0.821	7.172695070208158e-05	0.0029305119512203163	7.120758124379095e-06	-1591.3223846316191
0.844	7.499738410815457e-05	0.0026026136801264223	2.1873348681746523e-06	-2042.16579875628
0.868	0.00010027830685162289	0.003013011479292925	7.661055928461303e-06	-2749.166996270274
0.892	8.824887328456436e-05	0.0031122879651820255	5.618574392632691e-06	-1521.0973769506058
0.916	9.015780277014505e-05	0.002880197107528554	3.593890236990677e-06	-2177.068654483015
0.942	3.911816020415749e-05	0.0030261903238433295	5.929744155992629e-06	-2249.8658596847104
0.968	0.00011060063191588701	0.0029345819546554826	2.227350494846359e-06	-2169.372243049453
0.994	4.909316415114057e-05	0.0034039156686634705	5.897394292508413e-06	-3433.376012780956
1.022	3.4968853741129417e-06	0.0035713661591851072	8.129299156209729e-06	-2684.2700590326594
1.05	1.9971438576955124e-05	0.0038894332515656926	5.544334298648151e-06	-2869.9041739882073
1.079	0.00017744132451421847	0.0032969288642368914	9.566493120907389e-06	-4002.9560023519857
1.109	0.00011572671550400877	0.0032295770874458123	5.506679226961426e-06	-4260.72750949102
1.139	6.023734247561436e-06	0.003811424595256902	6.0156287179054735e-06	-4473.744531793361
1.171	4.609586295358875e-05	0.003956878738155825	1.0702299790344683e-05	-3596.7969870763495
1.204	0.00017224940988527787	0.003489219854931135	1.007024572176967e-05	-6520.091181674349
1.238	0.1999938451411285	0.004815912308895144	9.373993645631665e-07	-7141.0418305414605
1.273	7.329270609801182e-05	0.004124778541241722	5.038857453200466e-06	-10016.841855021821
1.309	7.709912412799121e-05	0.004151441826912796	6.166471786613878e-06	-9088.297936252708
1.347	6.750038738387614e-05	0.00449055902731761	5.1713141151408146e-06	-12398.480511736525
1.386	0.00013901768456819473	0.004478995781104231	6.7275263516966e-06	-12782.391095157132
1.427	8.612444212384806e-05	0.004798264021452049	4.765224630926157e-06	-12890.118535596872
1.47	2.892856310300012e-05	0.004436850300767129	7.3091234331713215e-06	-19672.55533765295
1.514	9.398713243809645e-05	0.005107837105099355	4.647245257059522e-06	-19433.29208554109
1.561	0.00012051993565456234	0.0052494865156354695	3.7669882078042516e-06	-22589.600818979772
1.609	0.08420331132507339	0.005748681453465755	7.654573038025653e-07	-33204.21639127836
1.661	0.06970115392461806	0.005743806112765662	3.7407507323177256e-14	-33274.23114069433
1.715	0.0600179071785272	0.006098394946563996	3.3399152639999996e-14	-43961.52555831077
1.772	0.06342610867320128	0.006169306783264554	3.339915264e-14	-45411.366193738846
1.833	0.07308901698133721	0.0063150702024644114	3.339915264e-14	-51375.26667780057
1.897	0.06803243202813787	0.006504315900909087	3.3399152639999996e-14	-57434.20195376232
1.966	0.00014165564077082087	0.006412299776476732	3.686999880455512e-06	-66155.02011654878
2.04	0.043440369958754305	0.006708229252385877	3.339915264e-14	-73823.89513242907
2.12	0.04863963524081036	0.007034585347522904	3.3399152640000015e-14	-86501.81191740795
2.207	0.056406339744057704	0.0074060020552924495	3.339915264e-14	-74762.17513735479
2.303	0.04533522232774918	0.007515894266248238	3.3399152639999996e-14	-78761.43046354174
2.408	0.022158791107805578	0.007686735935530906	3.6412974437240526e-06	-75321.28321853583
2.526	0.00012224585451311778	0.008067500904247748	4.75302467957345e-06	-59270.62610270972
2.659	0.04090389436709112	0.008626365554615968	3.1294311182167517e-07	-56778.06484866689
2.813	0.025228720882881375	0.008797256013462137	1.5178470670645613e-06	-42456.92356860166
2.996	0.06453830612966234	0.009957179691989958	1.0702709451382041e-06	-21148.998927932167
3.219	0.00011377533883468073	0.010069918810636198	1.1566539146825987e-05	-7006.071465315286
3.507	5.778602150574094e-05	0.012219507007393101	4.34841049854054e-05	-1668.418466782894
3.912	0.00018942855283706492	0.011707563302021114	4.839793484339259e-05	-314.7815143999976
