MR	p_mu	mean_mu	var_mu	max_loglikelihood
0.416	0.00010713675603933504	0.001523933833252684	1.8104558085564317e-06	-4049.3341123076675
0.431	0.00013534783533505288	0.0013783554364949222	8.285229967471891e-07	-3985.9667575621197
0.446	8.446963743331641e-05	0.0014674954979480349	1.5147085184393042e-06	-3473.8779117942213
0.462	9.267907521062389e-05	0.0015803172892729991	1.384475393315236e-06	-3171.093479107645
0.478	0.00021717773565643912	0.00156760437726174	6.03222744663236e-08	-4492.461616571489
0.494	0.00014484850021645657	0.001562566780892588	2.8346343547498544e-06	-2730.3306872669586
0.511	1.165873347419212e-05	0.0018883306486602205	3.863962667634355e-06	-2032.0083777604068
0.528	8.52921206660547e-05	0.0019282836421441343	1.6348079278886892e-06	-2287.595211416077
0.545	0.00015500218421568413	0.0017319894530705483	9.437233073332926e-08	-1973.0174641101219
0.562	6.63286059994864e-05	0.0019467066896294593	2.109124194470251e-06	-1618.7328906093317
0.58	7.148809432019536e-05	0.0018911717110694551	1.2781022793242184e-06	-1644.9652542299816
0.598	8.003477642055254e-05	0.002207998105489087	1.759787908940469e-06	-1375.8402896950247
0.616	6.993936771717334e-05	0.0019746193138230907	2.4414637485675066e-06	-1165.8112326451524
0.635	6.157987096209132e-05	0.0022122659528266255	1.0834733983696032e-06	-1201.0174166197644
0.654	1.5508152858806122e-06	0.00230409362487619	5.059652888047008e-06	-1408.5797153553533
0.673	0.00018582970153028198	0.0022413294112236326	3.339915264e-14	-1127.0292346181814
0.693	0.0	0.0026003262483005017	1.2010352907342132e-05	-1093.2045584108635
0.713	7.078782154785711e-05	0.0027474960506328064	4.942071436316351e-06	-1325.2471250978133
0.734	5.244943810147551e-05	0.0029900870941795997	9.839210175213467e-06	-1259.8748521368925
0.755	8.721411671632783e-05	0.0024569190477832146	2.700104479956802e-06	-1021.4132283340111
0.777	5.9299044638796006e-05	0.0026471003796371038	3.0425093777862004e-06	-1134.7255225910646
0.799	0.00015201534481223202	0.002682857372571305	1.0244693000890606e-06	-1059.6998733649039
0.821	6.780681443559772e-05	0.0033492420099124186	1.27321285644801e-05	-1134.3343828163188
0.844	4.990822921376739e-05	0.0028532651700241005	5.394362290872725e-06	-1343.0209431448886
0.868	1.620604614641386e-06	0.0031477925036893584	1.4108496782272726e-05	-1880.4252636816657
0.892	8.96262433523441e-05	0.002873534057177464	5.853872420566266e-06	-894.2415985169654
0.916	6.003006768195877e-06	0.003273829045364411	5.889428573065293e-06	-1558.131422552237
0.942	6.097065105886243e-05	0.0028007479921959583	3.9455668401896866e-07	-1413.3073821892795
0.968	2.6986394242195854e-06	0.0032971170192654326	5.858765487917725e-06	-1441.5850050936106
0.994	0.0	0.0035187761788567787	1.1405786013349863e-05	-2261.4892150553737
1.022	9.774804360010989e-05	0.003181413162945659	3.757564887637674e-06	-1675.7632135344732
1.05	0.0	0.004090804370419714	1.4294779687481942e-05	-1932.1471202474547
1.079	4.943096229090391e-05	0.003570686107813883	1.0640381227436903e-05	-2795.617563739168
1.109	0.00022605386079801944	0.0033893516398476125	3.3399152639999996e-14	-2958.154736973712
1.139	9.999429670834183e-05	0.0037564914479058836	8.725577336617097e-06	-3058.3988552716287
1.171	3.877906463582729e-05	0.003883257423927886	5.874593445224048e-06	-2400.071703987086
1.204	9.657395143476485e-05	0.003347252028015074	4.9421266823307745e-06	-4222.445690851433
1.238	9.934621592205033e-05	0.004055164336051466	3.6502548664397668e-06	-4808.389099398697
1.273	9.489367805923422e-05	0.003924030320170959	6.800342749358297e-06	-6352.643790509515
1.309	5.7438687093765294e-05	0.004440954303532558	8.866330594720329e-06	-6168.024791563826
1.347	5.808683130871189e-05	0.004501546643205772	5.685374792663124e-06	-8134.784645135025
1.386	0.00011183570159101246	0.004539474027196979	9.329422276955272e-06	-8407.6640093223
1.427	0.0001547032557235599	0.004500192812171366	3.6774572740341766e-07	-8414.557802749172
1.47	0.00010699838673875918	0.004328674170665398	4.016944438886067e-06	-12890.212487835932
1.514	0.00014104248425096894	0.004822642196533691	1.1754072232616254e-06	-12529.957210108923
1.561	8.798255686922704e-05	0.005065076531462678	2.6972176949987994e-06	-14801.480743403528
1.609	0.00012050823833791605	0.005302872192493375	4.024228344348644e-06	-22339.727236122366
1.661	0.00013150030340371263	0.005328698122549196	1.7926806813412136e-06	-22458.221309342458
1.715	0.0001527319053348687	0.005546730399886915	1.0129526109239458e-06	-29266.68696190665
1.772	9.085943775327107e-05	0.0058207459916152825	5.181491145796149e-06	-30865.320088777436
1.833	0.00015494592293884566	0.005824317151155987	1.275786002006911e-06	-34441.310020819816
1.897	0.00010854820554240412	0.006093719961880977	3.952103407382778e-06	-38626.09770739918
1.966	0.00021703522451058024	0.006245584380267869	3.151073510854684e-06	-44494.76415699685
2.04	0.00018831240466770662	0.006375406941468367	2.3904289712766636e-06	-49674.92681194196
2.12	0.06822192431255861	0.0071126508676730114	3.35048430350656e-14	-59149.574450185195
2.207	0.0002199964180700854	0.006871444998700835	1.6667693686461366e-06	-50434.36160396061
2.303	0.00010761476422361912	0.007107161002153186	2.6855403936875958e-06	-53984.31615167335
2.408	0.06740666395041561	0.007947179036267515	4.096928167341212e-14	-51681.32315013031
2.526	0.09394799914569046	0.008713900318418575	3.339915264e-14	-40420.41634766793
2.659	1.0404914828755451e-05	0.00820531659597325	3.5567582914347883e-06	-39749.683817795114
2.813	9.123123779138421e-05	0.008698223887719639	7.381849331132498e-06	-29938.26443297785
2.996	9.743379093968572e-05	0.009159860970921408	9.510551505167732e-06	-14731.426487957964
3.219	2.9080952771902917e-05	0.00962135047538153	9.871433584707921e-07	-5038.636866826243
3.507	0.0001510722322018466	0.00972705640395716	3.3399152639999996e-14	-1086.5787692599624
3.912	0.00012548207977759735	0.010619029175474977	3.339915264e-14	-210.05752638431136
