MR	p_mu	mean_mu	var_mu	max_loglikelihood
0.013	0.00016259706442076161	4.6338247207476754e-05	3.339915264e-14	-30494.37732363795
0.02	0.00017824322863321167	6.955197855994235e-05	3.3399152639999996e-14	-145503.36122352813
0.03	0.00015515572802103693	0.00010259819273072235	3.981283063545053e-14	-146817.01682023724
0.041	0.00022728149274322157	0.0001377985971297087	3.3399152639999996e-14	-122573.91966872166
0.051	0.00016759946321167927	0.00017370269399810543	3.3399152639999996e-14	-122856.81567307818
0.062	0.00016876011747474982	0.00020958419556694878	3.339915264e-14	-142044.64585861127
0.073	0.00013807472375069327	0.0002504888048048444	3.339915264e-14	-158658.1993245003
0.083	7.349463404119387e-05	0.00028944680231359626	3.339915264e-14	-171554.33800993257
0.094	0.00020300940308881513	0.00032312373600724265	3.603452792040447e-14	-186081.94234106736
0.105	0.0001717917494035007	0.0003542272298707463	3.339915264e-14	-189970.66662703492
0.117	0.0002597654370243792	0.0003846054687940229	3.339915264e-14	-181981.34489971978
0.128	0.00020853117098798806	0.0004232379164575021	3.3399152639999996e-14	-175802.99808925315
0.139	0.00019120581056046517	0.00045994666685846583	3.339915264e-14	-161355.70201432833
0.151	0.0002291086644857196	0.0004971078268472678	3.339915264e-14	-136143.1190893451
0.163	0.00019766965704228203	0.0005317246056671173	4.236455256769326e-08	-110453.84625801464
0.174	0.0002735982015964572	0.000572486420633688	3.3399152639999996e-14	-88546.5371087697
0.186	0.00019596652178162258	0.0006095132809061484	5.758188244072174e-08	-68270.86261532365
0.198	0.00018916569024457394	0.0006590150936359026	1.223561194565724e-07	-52515.9398266507
0.211	0.00024256460438312058	0.000694978707806165	3.339915264e-14	-40717.79550483857
0.223	0.00011828131677510249	0.0007586100857663977	3.6835763116236466e-07	-32748.50130867138
0.236	0.00022929932477081238	0.0007702018201380782	1.8301957115547937e-08	-26238.817750443464
0.248	0.00015586665207269247	0.0008241745139644569	3.339915264e-14	-22498.62575432382
0.261	0.00012638462738195037	0.0008766570181433036	5.064055497884948e-07	-17243.59410448493
0.274	0.00016854388944545002	0.0009034586876151111	3.339915264e-14	-14946.937069521957
0.288	0.00020505944913476213	0.0010012307902081405	3.339915264e-14	-13022.338662522012
0.301	3.66481015001152e-05	0.0010032497426035378	3.3399152639999996e-14	-10765.435632003942
0.315	0.00021484762636680768	0.0010439947361318537	3.339915264e-14	-9535.300485597128
0.329	0.00010296734072020194	0.0011337391784594624	9.038417726160579e-07	-8375.903747774666
0.342	0.00017603988027181997	0.0011081028698342581	3.597343457953455e-07	-9178.401503860014
0.357	0.00012865130837520279	0.0011821877265388338	2.636301949334344e-07	-7228.296608686465
0.371	0.0004126377103641913	0.001136609614722448	3.339915264e-14	-6798.387818811407
