MR	p_mu	mean_mu	var_mu	max_loglikelihood
0.431	0.00021993248367078186	0.001404556060847142	3.3399152640000015e-14	-5022.821719155047
0.446	0.00019859370917202875	0.0014472043028335513	2.2598894064150108e-07	-4194.358158580646
0.462	0.00010640351676679089	0.001564216810662517	1.1041853952510508e-06	-3735.1577144146163
0.478	6.650421968445269e-05	0.0015476982447469355	3.3399152639999996e-14	-5366.243396214832
0.494	9.655347613748137e-05	0.0014769588288451414	4.207759235421705e-14	-3226.2510778120895
0.511	0.00014349022475342081	0.001613321217591375	5.984868995098576e-07	-2282.8211876812475
0.528	8.268273223481409e-05	0.0018357278906531544	1.245849499618326e-06	-2636.562610649173
0.545	0.00010065491295261939	0.0018435996514248863	6.667739157320178e-07	-2470.92481119232
0.562	9.380486804050604e-06	0.0019390465884676035	4.905338737278879e-06	-1811.8861909360776
0.58	6.180519065451759e-05	0.0021928504651556923	3.927107367693253e-06	-2160.932480965881
0.598	0.0006835455868813157	0.0027153455687205317	2.371865704727983e-05	-1718.1089500155483
0.616	9.474767035476732e-05	0.002194129886234672	2.9387551162084437e-06	-1499.1431317207391
0.635	5.023052237374868e-05	0.002545101905196948	7.375421281942759e-06	-1505.468111235885
0.654	0.00021259474993490758	0.002135499592967227	3.339915264e-14	-1580.5805178145824
0.673	0.0	0.0025878540465352987	7.246746201197153e-06	-1447.7291729724702
0.693	1.5047387603173451e-07	0.0023666892895051494	4.802148598378783e-06	-1229.602816109495
0.713	0.0	0.0025538043498885424	8.174572551768881e-06	-1464.0454718235314
0.734	5.2469996263851935e-05	0.0026616794410130786	4.045125245699924e-06	-1422.2047343312775
0.755	0.0	0.002738371733835615	1.270276542805959e-05	-1268.0583852471777
0.777	0.0	0.0030260055106129348	8.399276122635885e-06	-1500.2943777082473
0.799	0.0002895278636173668	0.002793687240808414	3.339915264e-14	-1310.7885756256933
0.821	7.318905614646859e-06	0.0028925398780938394	5.210967340865829e-06	-1263.7802804075143
0.844	6.745663095450395e-07	0.002606940985360214	5.686447702890596e-06	-1502.8082015750713
0.868	0.0003102196585677327	0.0030136173752123414	9.691989378455952e-06	-2182.222069741843
0.892	3.459978786142024e-05	0.0029353604241061718	4.566999447899343e-06	-1097.6427930533362
0.916	0.0	0.0030459298077278596	8.025436839831176e-06	-1766.4792557613785
0.942	3.4853180423066e-05	0.0031714991627470055	4.800738599958467e-06	-1754.7780010351169
0.968	1.962995019756886e-05	0.003273443025538011	8.106912288616497e-06	-1691.3025319514072
0.994	9.202985342482206e-05	0.0034364934789934366	3.7817171228420103e-06	-2763.094957610708
1.022	1.384231568489295e-05	0.003584983339843732	6.089346561536079e-06	-2146.3326262676837
1.05	0.0	0.0036516240863944845	5.8700547332558835e-06	-2200.212165102816
1.079	0.0	0.0034704187049596066	9.241312915284792e-06	-3296.302629945022
1.109	3.086045330336767e-07	0.003451782343762826	8.194391326243877e-06	-3404.401733565301
1.139	7.907407249343283e-05	0.0038161025966927465	4.9594962421652284e-06	-3527.3480901026824
1.171	0.0	0.004318326674641225	1.5932723522197127e-05	-2907.995460939098
1.204	0.00014097573450863853	0.003105116801408344	2.3282271486000168e-06	-4905.621693976545
1.238	0.00011744361832243131	0.004056317897677967	8.11100992844892e-06	-5761.69219612263
1.273	0.00013131692043901315	0.00406131921574303	1.7296949479574697e-06	-7944.3347908937485
1.309	9.059452076361072e-05	0.004105532539132078	4.725025205875305e-06	-7157.821647159409
1.347	0.00019816596154324535	0.00425341991687858	1.6768460378203084e-06	-9584.290939107641
1.386	0.00011794175551582896	0.004554693290913382	3.105690128061235e-06	-10412.497861118054
1.427	0.0001947299482899614	0.00444263964815565	3.339915264e-14	-10060.940692189415
1.47	9.479292739169673e-05	0.0043184886054166375	5.310129158407004e-06	-15531.111023635001
1.514	0.00013854528045016486	0.005005923194765043	3.0944121794519715e-06	-15396.218845631052
1.561	8.783243130763981e-05	0.0053981374372714195	4.941751283115462e-06	-18278.17983518922
1.609	0.00019334649848175978	0.0051323517978850135	3.3399152639999996e-14	-26148.695948787128
1.661	0.00016823256945743264	0.005216947976806801	2.0198684857646834e-06	-26486.55191300493
1.715	0.00020071684014557202	0.005524459862679184	7.092433631343547e-07	-34972.73127925629
1.772	0.034571330362162325	0.005864174120906698	3.3405111323107515e-14	-36464.97802426968
1.833	0.08601483967540363	0.006420919883624386	3.339915264e-14	-41527.890410670734
1.897	0.0002551776182836157	0.005922496540254077	5.605741546415553e-07	-46005.63827301477
1.966	0.00017900274668192087	0.006180598943904844	3.339915264e-14	-53032.07443865661
2.04	0.00020947793860906066	0.006312142264549601	3.339916441497326e-14	-59530.62512773688
2.12	0.00014520151124083013	0.006558509672666965	3.339915264e-14	-70357.07949921068
2.207	0.00019017122479802627	0.006787547519631882	7.426712150184721e-07	-60161.54504081037
2.303	3.6974293443787426e-05	0.00698437400853164	3.339915264e-14	-64050.336163470885
2.408	0.00012281570759990312	0.007468888964076922	3.3706708688300766e-06	-62103.22154544496
2.526	0.00024910864905339203	0.007794053109167325	3.3399152639999996e-14	-48329.82258195138
2.659	0.0002125767873595302	0.00825639344507519	2.18498461603959e-06	-47589.12214687097
2.813	0.02993389089621766	0.00883455923970233	3.4168856443061177e-14	-35668.39132271279
2.996	9.98012148526539e-05	0.009101396908776982	7.371908243512685e-06	-17639.38318148046
3.219	0.00014700202544423068	0.00937403151570914	3.339915264e-14	-5685.900009996051
3.507	0.0001082483102571896	0.010889485030592175	8.427075606848862e-06	-1465.3306416657392
3.912	0.00042513664219180993	0.014208597199581782	0.00010759726427471238	-294.3100993885353
